year,carrier,amount
1987,PS,41706
1987,TW,69650
1987,UA,152624
1987,WN,61975
1987,EA,108776
1987,HP,45399
1987,NW,108273
1987,PA (1),16785
1987,PI,116482
1987,CO,123002
1987,DL,185813
1987,AA,165121
1987,US,94814
1987,AS,21406
1988,PI,470957
1988,PS,41911
1988,TW,275819
1988,UA,587144
1988,WN,262422
1988,EA,389292
1988,HP,180871
1988,NW,431440
1988,PA (1),72264
1988,CO,457031
1988,DL,753983
1988,AA,694757
1988,US,494383
1988,AS,89822
1989,UA,574674
1989,US,712342
1989,WN,288802
1989,NW,451752
1989,PA (1),79333
1989,PI,286518
1989,TW,276471
1989,DL,783320
1989,EA,169704
1989,HP,195588
1989,AA,723252
1989,AS,89122
1989,CO,410322
1990,US,1002485
1990,WN,322759
1990,NW,461745
1990,PA (1),83056
1990,TW,264182
1990,UA,606713
1990,DL,824062
1990,EA,252013
1990,HP,216314
1990,AA,712060
1990,AS,97934
1990,CO,427570
1991,US,907184
1991,WN,368734
1991,NW,460230
1991,PA (1),64729
1991,TW,231769
1991,UA,630093
1991,DL,874791
1991,HP,219896
1991,ML (1),70622
1991,AA,725191
1991,AS,98952
1991,CO,424734
1992,US,886305
1992,WN,422912
1992,NW,474931
1992,TW,246449
1992,UA,639349
1992,CO,421974
1992,DL,916593
1992,HP,199066
1992,AA,782371
1992,AS,102207
1993,US,833131
1993,WN,488332
1993,NW,474831
1993,TW,244782
1993,UA,649086
1993,CO,419560
1993,DL,898896
1993,HP,176756
1993,AA,786696
1993,AS,98431
1994,US,857906
1994,WN,565426
1994,NW,482798
1994,TW,258205
1994,UA,638750
1994,CO,484834
1994,DL,874526
1994,HP,177851
1994,AA,722277
1994,AS,117475
1995,UA,724807
1995,US,778835
1995,AA,688471
1995,TW,272452
1995,HP,194508
1995,WN,693101
1995,DL,884019
1995,CO,434425
1995,NW,521693
1995,AS,135124
1996,DL,888306
1996,HP,203001
1996,WN,757419
1996,CO,414410
1996,US,728534
1996,UA,735266
1996,AA,655539
1996,NW,543041
1996,TW,282176
1996,AS,144291
1997,WN,794849
1997,DL,921850
1997,HP,206304
1997,CO,403349
1997,US,718751
1997,UA,743847
1997,AA,663954
1997,NW,537152
1997,TW,274037
1997,AS,147750
1998,WN,815069
1998,HP,203071
1998,CO,399273
1998,US,696030
1998,DL,915095
1998,UA,748459
1998,AA,653919
1998,NW,527512
1998,AS,152220
1998,TW,274073
1999,US,714430
1999,UA,774370
1999,AA,692653
1999,DL,914130
1999,TW,275830
1999,HP,209496
1999,WN,853683
1999,CO,400014
1999,NW,537180
1999,AS,156098
2000,HP,219160
2000,WN,911699
2000,CO,393036
2000,US,748624
2000,DL,908029
2000,UA,776559
2000,AA,742265
2000,NW,551337
2000,AS,154171
2000,TW,267131
2000,AQ,11036
2001,US,688748
2001,WN,957145
2001,NW,533045
2001,TW,244721
2001,UA,704977
2001,DL,835236
2001,HP,209979
2001,MQ,489418
2001,AA,716985
2001,AQ,53798
2001,AS,156447
2001,CO,377281
2002,US,511664
2002,WN,956745
2002,MQ,439984
2002,NW,513331
2002,UA,587887
2002,CO,325246
2002,DL,728758
2002,HP,196111
2002,AA,852439
2002,AS,159194
2003,UA,543957
2003,US,411956
2003,WN,958566
2003,MQ,429098
2003,NW,499160
2003,OO,396801
2003,XE,328086
2003,TZ,69176
2003,DL,660617
2003,EV,273712
2003,FL,144700
2003,HP,189519
2003,AA,752241
2003,AS,161594
2003,B6,67184
2003,CO,302742
2003,DH,291600
2003,HA,7831
2004,UA,555812
2004,US,419919
2004,WN,990404
2004,NW,507286
2004,OH,373346
2004,OO,463448
2004,XE,367703
2004,TZ,75533
2004,DL,687638
2004,EV,278861
2004,FL,162558
2004,HA,48077
2004,HP,195939
2004,MQ,483088
2004,AA,698548
2004,AS,166992
2004,B6,89834
2004,CO,299329
2004,DH,264955
2005,UA,485918
2005,US,425609
2005,WN,1036034
2005,NW,480832
2005,OH,381337
2005,OO,517454
2005,XE,403767
2005,TZ,44109
2005,DL,658302
2005,EV,304647
2005,FL,195392
2005,HA,48183
2005,HP,197853
2005,MQ,532032
2005,AA,673569
2005,AS,158100
2005,B6,111050
2005,CO,296661
2005,DH,136492
2005,F9,53255
2006,US,504844
2006,WN,1099321
2006,YV,304764
2006,OH,278099
2006,OO,548109
2006,XE,441470
2006,TZ,19602
2006,UA,500008
2006,DL,506086
2006,EV,273143
2006,F9,90181
2006,FL,237645
2006,HA,52173
2006,MQ,550088
2006,NW,432880
2006,AA,643597
2006,AS,159404
2006,B6,155732
2006,CO,309389
2006,AQ,35387
2007,WN,1168871
2007,XE,434773
2007,YV,294362
2007,OH,233787
2007,OO,597882
2007,UA,490002
2007,US,485447
2007,DL,475889
2007,EV,286234
2007,F9,97760
2007,FL,263159
2007,HA,56175
2007,MQ,540494
2007,NW,414526
2007,9E,258851
2007,AA,633857
2007,AQ,46360
2007,AS,160185
2007,B6,191450
2007,CO,323151
2008,WN,1201754
2008,XE,374510
2008,YV,254930
2008,OH,197607
2008,OO,567159
2008,UA,449515
2008,US,453589
2008,DL,451931
2008,EV,280575
2008,F9,95762
2008,FL,261684
2008,HA,61826
2008,MQ,490693
2008,NW,347652
2008,9E,262208
2008,AA,604885
2008,AQ,7800
2008,AS,151102
2008,B6,196091
2008,CO,298455
